target,horizon,feature,abs_corr,mutual_info,lasso_selection_frequency,rank_score
CPIAUCSL,3,HOUST,0.22439552357316742,0.09626287798300748,0.0,0.5819672131147541
CPIAUCSL,3,PERMIT,0.14056742716595425,0.14110920187925258,0.0,0.5819672131147541
CPIAUCSL,3,TB6MS,0.17478861346325836,0.08663151753760534,0.02564102564102564,0.5792349726775955
CPIAUCSL,3,PERMITS,0.03137470532813036,0.07314584006780445,0.38461538461538464,0.5778688524590164
CPIAUCSL,3,NDMANEMP,0.06038145975998663,0.03371847547926077,0.38461538461538464,0.5669398907103825
CPIAUCSL,3,M2SL,0.0472930917219218,0.05607684636428267,0.3076923076923077,0.5546448087431693
CPIAUCSL,3,AMDMNOx,0.05528470831687888,0.03504274284999376,0.358974358974359,0.5437158469945355
CPIAUCSL,3,USTRADE,0.07126967062405726,0.06308652382506441,0.10256410256410256,0.5409836065573771
CPIAUCSL,3,AAA,0.18790388593921678,0.06340462625170984,0.0,0.5191256830601093
CPIAUCSL,3,EXCAUSx,0.09693318729498239,0.032267184542482674,0.1282051282051282,0.5191256830601093
CPIAUCSL,3,IPNMAT,0.05306211148741647,0.0278892626413203,0.358974358974359,0.5163934426229508
CPIAUCSL,3,USGOVT,0.020767400560632702,0.041418588163943504,0.5897435897435898,0.5136612021857924
CPIAUCSL,3,IPFUELS,0.02168614825776481,0.041907110390142055,0.5128205128205128,0.5109289617486339
CPIAUCSL,3,UMCSENTx,0.038236061392559646,0.08451606335294093,0.10256410256410256,0.5081967213114754
CPIAUCSL,3,ISRATIOx,0.056516853168729383,0.0,0.8205128205128205,0.505464480874317
CPIAUCSL,3,CLF16OV,0.1046356631224507,0.0065684406121473415,0.23076923076923078,0.5040983606557377
CPIAUCSL,3,DTCTHFNM,0.012315555032400264,0.05205889863297175,0.41025641025641024,0.5027322404371585
CPIAUCSL,3,BOGMBASE,0.041741793263051705,0.011736214813323986,0.46153846153846156,0.49863387978142076
CPIAUCSL,3,HWI,0.043863181280522356,0.03895574359599019,0.28205128205128205,0.4959016393442623
CPIAUCSL,3,CUSR0000SAC,0.08559760470835771,0.04333627371307269,0.07692307692307693,0.4890710382513661
CPIAUCSL,3,IPCONGD,0.007013412441162923,0.04612596565991556,0.5641025641025641,0.48087431693989074
CPIAUCSL,3,VIXCLSx,0.011165872365832738,0.06345843356607084,0.3076923076923077,0.4781420765027322
CPIAUCSL,3,RETAILx,0.12936531005166693,0.011735389833697152,0.10256410256410256,0.4754098360655738
CPIAUCSL,3,WPSFD49207,0.0804106634546575,0.014483226732759924,0.15384615384615385,0.4726775956284153
CPIAUCSL,3,USTPU,0.09684575800259002,0.03177538997067675,0.07692307692307693,0.4699453551912569
CPIAUCSL,3,MANEMP,0.06820588682830342,0.08725256824741967,0.0,0.46174863387978143
CPIAUCSL,3,WPSID61,0.08988022285758317,0.05957316514321809,0.0,0.453551912568306
CPIAUCSL,3,HOUSTS,0.16444218825680756,0.040869251671524776,0.0,0.4426229508196721
CPIAUCSL,3,CUSR0000SAD,0.02181241602607996,0.05072488871985881,0.23076923076923078,0.4412568306010929
CPIAUCSL,3,EXUSUKx,0.048960381060285996,0.035674578713905,0.10256410256410256,0.43169398907103823
CPIAUCSL,3,CLAIMSx,0.05082787780485932,0.0019021115724218163,0.3076923076923077,0.42622950819672134
CPIAUCSL,3,CE16OV,0.05395274804137977,0.022315128611035906,0.10256410256410256,0.42076502732240434
